Country / territory of asylum/residence,Origin,Value
Aruba,Colombia,1
Afghanistan,Afghanistan,351907
Afghanistan,Afghanistan,838250
Afghanistan,Afghanistan,3366
Afghanistan,China,0
Afghanistan,Eritrea,0
Afghanistan,Iran (Islamic Rep. of),21
Afghanistan,Iran (Islamic Rep. of),30
Afghanistan,Iraq,0
Afghanistan,Iraq,6
Afghanistan,Pakistan,9
Afghanistan,Pakistan,6398
Angola,Burundi,13
Angola,Burundi,14
Angola,Burkina Faso,1
Angola,Central African Rep.,1
Angola,Central African Rep.,6
Angola,Cote d'Ivoire,1213
Angola,Cote d'Ivoire,211
Angola,Cameroon,1
Angola,Dem. Rep. of the Congo,1508
Angola,Dem. Rep. of the Congo,13648
Angola,Congo,163
Angola,Congo,45
Angola,Cuba,2
Angola,Djibouti,1
Angola,Algeria,1
Angola,Eritrea,43
Angola,Eritrea,6
Angola,Western Sahara,1
Angola,Western Sahara,5
Angola,Ethiopia,6
Angola,Guinea,78
Angola,Guinea,36
Angola,Gambia,1
Angola,Guinea-Bissau,17
Angola,Guinea-Bissau,2
Angola,Haiti,1
Angola,Haiti,1
Angola,Iraq,1
Angola,Iraq,2
Angola,Rep. of Korea,1
Angola,Liberia,158
Angola,Liberia,75
Angola,Mauritania,90
Angola,Mauritania,83
Angola,Nigeria,1
Angola,Rwanda,8
Angola,Rwanda,444
Angola,Sudan,212
Angola,Sudan,159
Angola,Senegal,10
Angola,Sierra Leone,462
Angola,Sierra Leone,219
Angola,Somalia,53
Angola,Somalia,37
Angola,Chad,61
Angola,Chad,148
Angola,Togo,2
Angola,United Rep. of Tanzania,6
Angola,Uganda,2
Angola,Various/Unknown,133
Angola,South Africa,2
Angola,Zambia,1
Angola,Zimbabwe,1
Albania,Bosnia and Herzegovina,0
Albania,China,6
Albania,Czech Rep.,2
Albania,Egypt,0
Albania,Egypt,3
Albania,Iran (Islamic Rep. of),0
Albania,Iran (Islamic Rep. of),1
Albania,Iraq,2
Albania,Iraq,5
Albania,Libya,0
Albania,Libya,1
Albania,The former Yugoslav Republic of Macedonia,1
Albania,Montenegro,1
Albania,Palestinian,3
Albania,Saudi Arabia,0
Albania,Serbia and Kosovo (S/RES/1244 (1999)),20
Albania,Serbia and Kosovo (S/RES/1244 (1999)),49
Albania,Tunisia,0
Albania,Tunisia,1
Albania,Turkey,3
Albania,Uzbekistan,1
United Arab Emirates,Afghanistan,16
United Arab Emirates,Afghanistan,4
United Arab Emirates,China,0
United Arab Emirates,Eritrea,0
United Arab Emirates,Eritrea,8
United Arab Emirates,Ethiopia,3
United Arab Emirates,Iran (Islamic Rep. of),14
United Arab Emirates,Iran (Islamic Rep. of),10
United Arab Emirates,Iraq,14
United Arab Emirates,Iraq,432
United Arab Emirates,Pakistan,0
United Arab Emirates,Pakistan,5
United Arab Emirates,Palestinian,7
United Arab Emirates,Palestinian,11
United Arab Emirates,Sudan,13
United Arab Emirates,Sudan,14
United Arab Emirates,Somalia,0
United Arab Emirates,Somalia,19
United Arab Emirates,Syrian Arab Rep.,9
United Arab Emirates,Syrian Arab Rep.,34
United Arab Emirates,Tunisia,10
United Arab Emirates,Uganda,1
Argentina,Afghanistan,1
Argentina,Angola,2
Argentina,Angola,14
Argentina,Albania,0
Argentina,Albania,27
Argentina,Armenia,5
Argentina,Armenia,122
Argentina,Burundi,1
Argentina,Burundi,6
Argentina,Burkina Faso,1
Argentina,Bangladesh,15
Argentina,Bangladesh,9
Argentina,Bulgaria,2
Argentina,Bosnia and Herzegovina,6
Argentina,Belarus,1
Argentina,Bolivia (Plurinational State of),0
Argentina,Bolivia (Plurinational State of),3
Argentina,Brazil,0
Argentina,Botswana,1
Argentina,Central African Rep.,1
Argentina,Central African Rep.,2
Argentina,Chile,1
Argentina,Chile,336
Argentina,China,0
Argentina,Cote d'Ivoire,9
Argentina,Cote d'Ivoire,22
Argentina,Cameroon,14
Argentina,Cameroon,7
Argentina,Dem. Rep. of the Congo,6
Argentina,Congo,13
Argentina,Congo,9
Argentina,Colombia,203
Argentina,Colombia,403
Argentina,Cabo Verde,1
Argentina,Costa Rica,1
Argentina,Costa Rica,6
Argentina,Cuba,29
Argentina,Cuba,338
Argentina,Czech Rep.,1
Argentina,Dominican Rep.,119
Argentina,Dominican Rep.,2
Argentina,Algeria,45
Argentina,Ecuador,3
Argentina,Ecuador,13
Argentina,Eritrea,2
Argentina,Spain,5
Argentina,Ethiopia,5
Argentina,Georgia,1
Argentina,Georgia,5
Argentina,Ghana,12
Argentina,Ghana,27
Argentina,Guinea,0
Argentina,Guinea,6
Argentina,Gambia,1
Argentina,Guinea-Bissau,2
Argentina,Guinea-Bissau,18
Argentina,Guatemala,1
Argentina,Guyana,1
Argentina,Honduras,3
Argentina,Croatia,2
Argentina,Haiti,36
Argentina,Haiti,47
Argentina,Hungary,9
Argentina,India,34
Argentina,India,36
Argentina,Iran (Islamic Rep. of),22
Argentina,Iraq,0
Argentina,Iraq,27
Argentina,Italy,1
Argentina,Kazakhstan,3
Argentina,Kazakhstan,22
Argentina,Kenya,1
Argentina,Kyrgyzstan,3
Argentina,Lao People's Dem. Rep.,0
Argentina,Liberia,15
Argentina,Liberia,68
Argentina,Sri Lanka,1
Argentina,Sri Lanka,34
Argentina,Morocco,1
Argentina,Morocco,2
Argentina,Mexico,1
Argentina,Mexico,1
Argentina,Mali,14
Argentina,Myanmar,1
Argentina,Mauritania,0
Argentina,Mauritania,2
Argentina,Namibia,1
Argentina,Nigeria,28
Argentina,Nigeria,51
Argentina,Nicaragua,0
Argentina,Nicaragua,2
Argentina,Pakistan,0
Argentina,Pakistan,41
Argentina,Peru,2
Argentina,Peru,585
Argentina,Paraguay,8
Argentina,Paraguay,3
Argentina,Romania,0
Argentina,Romania,54
Argentina,Russian Federation,0
Argentina,Russian Federation,60
Argentina,Rwanda,1
Argentina,Sudan,2
Argentina,Sudan,3
Argentina,Senegal,0
Argentina,Senegal,65
Argentina,Singapore,0
Argentina,Sierra Leone,1
Argentina,Sierra Leone,59
Argentina,El Salvador,4
Argentina,El Salvador,6
Argentina,Somalia,2
Argentina,Somalia,5
Argentina,Serbia and Kosovo (S/RES/1244 (1999)),1
Argentina,Serbia and Kosovo (S/RES/1244 (1999)),18
Argentina,Chad,1
Argentina,Togo,1
Argentina,Togo,2
Argentina,Turkmenistan,2
Argentina,Tunisia,2
Argentina,Turkey,2
Argentina,Turkey,10
Argentina,United Rep. of Tanzania,2
Argentina,Ukraine,1
Argentina,Ukraine,19
Argentina,Uruguay,2
Argentina,United States of America,1
Argentina,United States of America,3
Argentina,Venezuela (Bolivarian Republic of),4
Argentina,Venezuela (Bolivarian Republic of),1
Argentina,Stateless,3
Argentina,Stateless,3
Argentina,Various/Unknown,332
Argentina,Various/Unknown,549
Argentina,South Africa,1
Argentina,South Africa,3
Argentina,Zambia,1
Argentina,Zimbabwe,2
Argentina,Zimbabwe,2
Armenia,Afghanistan,0
Armenia,Armenia,82519
Armenia,Armenia,6
Armenia,Azerbaijan,2347
Armenia,China,2
Armenia,Cote d'Ivoire,3
Armenia,Cote d'Ivoire,1
Armenia,Cuba,0
Armenia,Cuba,1
Armenia,Ethiopia,1
Armenia,Georgia,1
Armenia,Georgia,11
Armenia,Iran (Islamic Rep. of),7
Armenia,Iran (Islamic Rep. of),22
Armenia,Iraq,0
Armenia,Iraq,888
Armenia,Israel,5
Armenia,Kazakhstan,1
Armenia,Lebanon,14
Armenia,Mali,0
Armenia,Nigeria,1
Armenia,Russian Federation,1
Armenia,Syrian Arab Rep.,0
Armenia,Turkey,9
Armenia,Turkey,4
Antigua and Barbuda,Cuba,0
Australia,Afghanistan,67
Australia,Afghanistan,5518
Australia,Angola,0
Australia,Angola,3
Australia,Albania,18
Australia,Albania,46
Australia,United Arab Emirates,2
Australia,United Arab Emirates,2
Australia,Argentina,2
Australia,Argentina,1
Australia,Armenia,1
Australia,Armenia,7
Australia,Australia,0
Australia,Azerbaijan,3
Australia,Burundi,1
Australia,Burundi,31
Australia,Benin,1
Australia,Bangladesh,70
Australia,Bangladesh,252
Australia,Bulgaria,1
Australia,Bulgaria,3
Australia,Bahrain,9
Australia,Bahrain,22
Australia,Bosnia and Herzegovina,0
Australia,Bosnia and Herzegovina,6
Australia,Bosnia and Herzegovina,15
Australia,Belarus,0
Australia,Belarus,16
Australia,Bolivia (Plurinational State of),0
Australia,Brazil,5
Australia,Brazil,8
Australia,Brunei Darussalam,1
Australia,Bhutan,2
Australia,Central African Rep.,1
Australia,Canada,0
Australia,Canada,1
Australia,Switzerland,1
Australia,Chile,0
Australia,Chile,1
Australia,China,534
Australia,China,2201
Australia,Cote d'Ivoire,7
Australia,Cameroon,6
Australia,Cameroon,51
Australia,Dem. Rep. of the Congo,4
Australia,Dem. Rep. of the Congo,27
Australia,Congo,0
Australia,Congo,19
Australia,Cook Islands,1
Australia,Colombia,22
Australia,Colombia,148
Australia,Cuba,6
Australia,Czech Rep.,3
Australia,Czech Rep.,1
Australia,Germany,0
Australia,Germany,1
Australia,Djibouti,1
Australia,Denmark,2
Australia,Dominican Rep.,1
Australia,Algeria,0
Australia,Algeria,20
Australia,Ecuador,1
Australia,Ecuador,4
Australia,Egypt,256
Australia,Egypt,350
Australia,Eritrea,21
Australia,Eritrea,67
Australia,Western Sahara,0
Australia,Ethiopia,19
Australia,Ethiopia,168
Australia,Fiji,197
Australia,Fiji,144
Australia,France,0
Australia,France,4
Australia,United Kingdom,6
Australia,United Kingdom,2
Australia,Georgia,2
Australia,Georgia,9
Australia,Ghana,16
Australia,Ghana,28
Australia,Guinea,0
Australia,Guinea,10
Australia,Gambia,3
Australia,Guinea-Bissau,1
Australia,Greece,0
Australia,Greece,4
Australia,Guyana,1
Australia,"China, Hong Kong SAR",0
Australia,Croatia,4
Australia,Hungary,0
Australia,Indonesia,91
Australia,Indonesia,231
Australia,India,228
Australia,India,139
Australia,Ireland,1
Australia,Iran (Islamic Rep. of),318
Australia,Iran (Islamic Rep. of),1327
Australia,Iraq,196
Australia,Iraq,3791
Australia,Israel,7
Australia,Israel,31
Australia,Italy,2
Australia,Italy,2
Australia,Jamaica,1
Australia,Jordan,23
Australia,Jordan,69
Australia,Japan,4
Australia,Japan,1
Australia,Kazakhstan,4
Australia,Kazakhstan,4
Australia,Kenya,12
Australia,Kenya,38
Australia,Kyrgyzstan,2
Australia,Kyrgyzstan,21
Australia,Cambodia,4
Australia,Cambodia,16
Australia,Rep. of Korea,40
Australia,Rep. of Korea,24
Australia,Kuwait,4
Australia,Kuwait,22
Australia,Lao People's Dem. Rep.,1
Australia,Lao People's Dem. Rep.,4
Australia,Lebanon,134
Australia,Lebanon,209
Australia,Liberia,0
Australia,Liberia,18
Australia,Libya,12
Australia,Libya,9
Australia,Sri Lanka,253
Australia,Sri Lanka,2373
Australia,Lithuania,2
Australia,Latvia,1
Australia,Latvia,6
Australia,"China, Macao SAR",0
Australia,Morocco,0
Australia,Morocco,13
Australia,The former Yugoslav Republic of Macedonia,2
Australia,Mali,3
Australia,Malta,1
Australia,Myanmar,34
Australia,Myanmar,444
Australia,Mongolia,7
Australia,Mongolia,43
Australia,Mozambique,1
Australia,Mauritania,4
Australia,Mauritius,9
Australia,Malawi,0
Australia,Malawi,1
Australia,Malaysia,86
Australia,Malaysia,43
Australia,Niger,1
Australia,Nigeria,18
Australia,Nigeria,101
Australia,Netherlands,1
Australia,Norway,0
Australia,Nepal,100
Australia,Nepal,154
Australia,New Zealand,3
Australia,New Zealand,1
Australia,Pakistan,320
Australia,Pakistan,747
Australia,Peru,2
Australia,Peru,6
Australia,Philippines,15
Australia,Philippines,14
Australia,Papua New Guinea,41
Australia,Papua New Guinea,87
Australia,Poland,3
Australia,Poland,1
Australia,Dem. People's Rep. of Korea,33
Australia,Dem. People's Rep. of Korea,25
Australia,Portugal,0
Australia,Palestinian,27
Australia,Palestinian,172
Australia,Qatar,0
Australia,Romania,1
Australia,Romania,18
Australia,Russian Federation,6
Australia,Russian Federation,118
Australia,Rwanda,2
Australia,Rwanda,23
Australia,Saudi Arabia,3
Australia,Saudi Arabia,22
Australia,Sudan,6
Australia,Sudan,57
Australia,Senegal,1
Australia,Senegal,4
Australia,Singapore,1
Australia,Singapore,5
Australia,Solomon Islands,0
Australia,Solomon Islands,32
Australia,Sierra Leone,5
Australia,Sierra Leone,33
Australia,El Salvador,2
Australia,El Salvador,5
Australia,Somalia,15
Australia,Somalia,74
Australia,Serbia and Kosovo (S/RES/1244 (1999)),2
Australia,Serbia and Kosovo (S/RES/1244 (1999)),93
Australia,Sweden,1
Australia,Sweden,1
Australia,Syrian Arab Rep.,18
Australia,Syrian Arab Rep.,68
Australia,Chad,1
Australia,Chad,2
Australia,Togo,4
Australia,Thailand,17
Australia,Thailand,13
Australia,Tibetan,7
Australia,Tajikistan,1
Australia,Turkmenistan,2
Australia,Timor-Leste,1
Australia,Timor-Leste,8
Australia,Tonga,9
Australia,Tonga,3
Australia,Tunisia,0
Australia,Tunisia,15
Australia,Turkey,99
Australia,Turkey,224
Australia,United Rep. of Tanzania,2
Australia,United Rep. of Tanzania,11
Australia,Uganda,5
Australia,Uganda,33
Australia,Ukraine,11
Australia,Ukraine,42
Australia,United States of America,2
Australia,United States of America,8
Australia,Uzbekistan,4
Australia,Uzbekistan,29
Australia,Venezuela (Bolivarian Republic of),1
Australia,Venezuela (Bolivarian Republic of),7
Australia,Viet Nam,53
Australia,Viet Nam,52
Australia,Vanuatu,0
Australia,Vanuatu,1
Australia,Samoa,0
Australia,Samoa,1
Australia,Stateless,29
Australia,Stateless,347
Australia,Various/Unknown,38
Australia,Various/Unknown,226
Australia,Yemen,0
Australia,Yemen,6
Australia,South Africa,11
Australia,South Africa,25
Australia,Zambia,2
Australia,Zambia,5
Australia,Zimbabwe,105
Australia,Zimbabwe,775
Austria,Afghanistan,2696
Austria,Afghanistan,7359
Austria,Angola,25
Austria,Angola,173
Austria,Albania,174
Austria,Albania,180
Austria,Armenia,881
Austria,Armenia,855
Austria,Australia,0
Austria,Austria,401
Austria,Azerbaijan,196
Austria,Azerbaijan,381
Austria,Burundi,4
Austria,Burundi,24
Austria,Benin,15
Austria,Benin,5
Austria,Burkina Faso,8
Austria,Burkina Faso,7
Austria,Bangladesh,355
Austria,Bangladesh,64
Austria,Bulgaria,12
Austria,Bulgaria,5
Austria,Bosnia and Herzegovina,267
Austria,Bosnia and Herzegovina,211
Austria,Bosnia and Herzegovina,69
Austria,Belarus,75
Austria,Belarus,96
Austria,Bolivia (Plurinational State of),16
Austria,Bolivia (Plurinational State of),15
Austria,Brazil,1
Austria,Bhutan,0
Austria,Bhutan,1
Austria,Central African Rep.,0
Austria,Canada,1
Austria,Switzerland,0
Austria,Chile,0
Austria,China,535
Austria,China,225
Austria,Cote d'Ivoire,38
Austria,Cote d'Ivoire,28
Austria,Cameroon,98
Austria,Cameroon,199
Austria,Dem. Rep. of the Congo,100
Austria,Dem. Rep. of the Congo,427
Austria,Congo,21
Austria,Congo,102
Austria,Colombia,5
Austria,Colombia,22
Austria,Cuba,2
Austria,Cuba,21
Austria,Czech Rep.,1
Austria,Czech Rep.,1
Austria,Germany,1
Austria,Djibouti,0
Austria,Dominican Rep.,1
Austria,Algeria,247
Austria,Algeria,33
Austria,Ecuador,0
Austria,Egypt,129
Austria,Egypt,40
Austria,Eritrea,19
Austria,Eritrea,63
Austria,Western Sahara,0
Austria,Estonia,3
Austria,Ethiopia,49
Austria,Ethiopia,127
Austria,France,1
Austria,Gabon,7
Austria,Georgia,643
Austria,Georgia,730
Austria,Ghana,39
Austria,Ghana,35
Austria,Guinea,113
Austria,Guinea,47
Austria,Gambia,112
Austria,Gambia,71
Austria,Guinea-Bissau,34
Austria,Guinea-Bissau,2
Austria,Equatorial Guinea,1
Austria,Equatorial Guinea,1
Austria,Guatemala,5
Austria,Croatia,9
Austria,Croatia,8
Austria,Haiti,1
Austria,Indonesia,1
Austria,India,588
Austria,India,43
Austria,Iran (Islamic Rep. of),577
Austria,Iran (Islamic Rep. of),2357
Austria,Iraq,912
Austria,Iraq,2320
Austria,Israel,14
Austria,Israel,2
Austria,Jamaica,1
Austria,Jordan,25
Austria,Jordan,9
Austria,Kazakhstan,53
Austria,Kazakhstan,34
Austria,Kenya,35
Austria,Kenya,11
Austria,Kyrgyzstan,141
Austria,Kyrgyzstan,217
Austria,Cambodia,0
Austria,Cambodia,1
Austria,Rep. of Korea,1
Austria,Rep. of Korea,1
Austria,Kuwait,1
Austria,Lao People's Dem. Rep.,1
Austria,Lebanon,122
Austria,Lebanon,36
Austria,Liberia,38
Austria,Liberia,27
Austria,Libya,6
Austria,Libya,2
Austria,Sri Lanka,45
Austria,Sri Lanka,31
Austria,Lithuania,1
Austria,Latvia,2
Austria,Latvia,2
Austria,Morocco,83
Austria,Morocco,14
Austria,Rep. of Moldova,97
Austria,Rep. of Moldova,137
Austria,Madagascar,2
Austria,Maldives,1
Austria,Mexico,0
Austria,Mexico,1
Austria,The former Yugoslav Republic of Macedonia,327
Austria,The former Yugoslav Republic of Macedonia,161
Austria,Mali,31
Austria,Mali,1
Austria,Myanmar,7
Austria,Myanmar,7
Austria,Montenegro,11
Austria,Montenegro,12
Austria,Mongolia,632
Austria,Mongolia,131
Austria,Mauritania,5
Austria,Mauritania,6
Austria,Mauritius,1
Austria,Malawi,0
Austria,Niger,5
Austria,Niger,1
Austria,Nigeria,1200
Austria,Nigeria,228
Austria,Netherlands,0
Austria,Nepal,73
Austria,Nepal,35
Austria,Pakistan,494
Austria,Pakistan,69
Austria,Peru,3
Austria,Philippines,8
Austria,Philippines,6
Austria,Poland,1
Austria,Poland,1
Austria,Dem. People's Rep. of Korea,2
Austria,Romania,47
Austria,Romania,40
Austria,Russian Federation,3870
Austria,Russian Federation,17229
Austria,Rwanda,10
Austria,Rwanda,54
Austria,Saudi Arabia,0
Austria,Sudan,88
Austria,Sudan,191
Austria,Senegal,48
Austria,Senegal,3
Austria,Sierra Leone,37
Austria,Sierra Leone,46
Austria,Somalia,407
Austria,Somalia,1093
Austria,Serbia and Kosovo (S/RES/1244 (1999)),2797
Austria,Serbia and Kosovo (S/RES/1244 (1999)),3353
Austria,Slovakia,0
Austria,Slovakia,4
Austria,Slovenia,1
Austria,Syrian Arab Rep.,471
Austria,Syrian Arab Rep.,505
Austria,Chad,3
Austria,Chad,3
Austria,Togo,6
Austria,Togo,27
Austria,Thailand,2
Austria,Tajikistan,32
Austria,Tajikistan,44
Austria,Turkmenistan,1
Austria,Turkmenistan,14
Austria,Trinidad and Tobago,0
Austria,Tunisia,43
Austria,Tunisia,13
Austria,Turkey,1007
Austria,Turkey,1288
Austria,Uganda,28
Austria,Uganda,18
Austria,Ukraine,238
Austria,Ukraine,282
Austria,Uruguay,0
Austria,United States of America,0
Austria,United States of America,1
Austria,Uzbekistan,79
Austria,Uzbekistan,117
Austria,Venezuela (Bolivarian Republic of),0
Austria,Viet Nam,9
Austria,Viet Nam,42
Austria,Stateless,278
Austria,Stateless,443
Austria,Various/Unknown,3626
Austria,Various/Unknown,313
Austria,Yemen,2
Austria,Yemen,9
Austria,South Africa,6
Austria,South Africa,2
Austria,Zambia,1
Austria,Zimbabwe,18
Austria,Zimbabwe,18
Azerbaijan,Afghanistan,2
Azerbaijan,Afghanistan,718
Azerbaijan,Afghanistan,10
Azerbaijan,Armenia,5
